CRN	SUBJ_CODE	CRSE_NUMB	COURSE_SECTION_TITLE	SEM_OFFERED	CAMPUS	SECTION	SCHED_TYPE	QUOTA	STAFF_ID	INSTRUCTOR	START_DATE	END_DATE	DAY	START_TIME	END_TIME	ROOM_DESC	Primary Instructor/First Examiner	Update Status (OK, Amend, Remove, Add)
23466	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201520	Mona	T15	Tutorial/Discussions	20	TUTOR	TUTOR	18-Jan-16	14-Apr-16	Thur	12:00 PM	12:59 PM	Computer Science Tutorial Room 2		
23468	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201520	Mona	T17	Tutorial/Discussions	20	TUTOR	TUTOR	18-Jan-16	14-Apr-16	Fri	12:00 PM	12:59 PM	Computer Science Tutorial Room 1		
23470	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201520	Mona	T18	Tutorial/Discussions	20	TUTOR	TUTOR	18-Jan-16	14-Apr-16	Tues	1:00 PM	1:59 PM	Computer Science Tutorial Room 1		
23477	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201520	Mona	T19	Tutorial/Discussions	20	TUTOR	TUTOR	18-Jan-16	14-Apr-16	Fri	5:00 PM	5:59 PM	Computer Science Tutorial Room 2		
24129	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201520	Mona	T20	Tutorial/Discussions	20	TUTOR	TUTOR	18-Jan-16	8-Apr-16	Thur	10:00 AM	10:59 AM	Computer Science Tutorial Room 2		
24130	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201520	Mona	T21	Tutorial/Discussions	20	TUTOR	TUTOR	18-Jan-16	8-Apr-16	Thur	5:00 PM	5:59 PM	Computer Science Tutorial Room 1		
23544	COMP	1210	Mathematics for Computing	201520	Mona	M11	Lecture	180	10018699	Kirk R. Morgan	18-Jan-16	15-Apr-16	Mon	8:00 PM	8:59 PM	PAS Science Lecture Theatre		
23544	COMP	1210	Mathematics for Computing	201520	Mona	M11	Lecture	180	10018699	Kirk R. Morgan	18-Jan-16	14-Apr-16	Tues	7:00 PM	7:59 PM	PAS Science Lecture Theatre		
23545	COMP	1210	Mathematics for Computing Tutorial COMP1210	201520	Mona	T01	Tutorial/Discussions	30	10018699	Kirk R. Morgan	18-Jan-16	14-Apr-16	Wed	4:00 PM	4:59 PM	Computer Science Tutorial Room 2		
23546	COMP	1210	Mathematics for Computing Tutorial COMP1210	201520	Mona	T02	Tutorial/Discussions	30	TUTOR	TUTOR	18-Jan-16	14-Apr-16	Fri	6:00 PM	6:59 PM	Computer Science Tutorial Room 2		
23547	COMP	1210	Mathematics for Computing Tutorial COMP1210	201520	Mona	T03	Tutorial/Discussions	30	TUTOR	TUTOR	18-Jan-16	14-Apr-16	Wed	7:00 PM	7:59 PM	Computer Science Tutorial Room 2		
23549	COMP	1210	Mathematics for Computing Tutorial COMP1210	201520	Mona	T05	Tutorial/Discussions	30	TUTOR	TUTOR	18-Jan-16	14-Apr-16	Fri	1:00 PM	1:59 PM	Computer Science Tutorial Room 1		
23550	COMP	1210	Mathematics for Computing Tutorial COMP1210	201520	Mona	T06	Tutorial/Discussions	30	TUTOR	TUTOR	18-Jan-16	14-Apr-16	Tues	4:00 PM	4:59 PM	Computer Science Tutorial Room 2		
24717	COMP	1210	Mathematics for Computing	201520	Mona	T07	Tutorial/Discussions	30	10018699	Kirk R. Morgan	18-Jan-16	15-Apr-16	Fri	12:00 PM	12:59 PM	Computer Science Tutorial Room 2		
23551	COMP	1220	Computing and Society	201520	Mona	M11	Lecture	295	10008919	Ashley G. Taylor	18-Jan-16	14-Apr-16	Thur	5:00 PM	6:59 PM	LAW LECTURE THEATRE 3		AMEND
23551	COMP	1220	Computing and Society	201520	Mona	M11	Lecture	295	10008919	Ashley G. Taylor	18-Jan-16	14-Apr-16	Wed	5:00 PM	5:59 PM	Interfaculty Lecture Theater		AMEND
	COMP	1220	Computing and Society	201520	Mona	M12	Lecture	295	10008919	Ashley G. Taylor	18-Jan-16	14-Apr-16	Wed	2:00 PM	2:59 PM	Physiology Lecture Theatre		ADD
	COMP	1220	Computing and Society	201520	Mona	M12	Lecture	295	10008919	Ashley G. Taylor	18-Jan-16	14-Apr-16	Fri	12:00 PM	1:59 PM	Physiology Lecture Theatre		ADD
24131	COMP	1220	Computing and Society Tutorial COMP1220	201520	Mona	T01	Tutorial/Discussions	25	TUTOR	TUTOR	18-Jan-16	8-Apr-16	Fri	2:00 PM	2:59 PM	Computer Science Tutorial Room 2		
24133	COMP	1220	Computing and Society Tutorial COMP1220	201520	Mona	T02	Tutorial/Discussions	25	10008919	Ashley G. Taylor	18-Jan-16	8-Apr-16	Wed	1:00 PM	1:59 PM	Computer Science Tutorial Room 2		
24132	COMP	1220	Computing and Society Tutorial COMP1220	201520	Mona	T03	Tutorial/Discussions	25	TUTOR	TUTOR	18-Jan-16	8-Apr-16	Fri	3:00 PM	3:59 PM	Computer Science Tutorial Room 1		
24134	COMP	1220	Computing and Society Tutorial COMP1220	201520	Mona	T04	Tutorial/Discussions	25	TUTOR	TUTOR	18-Jan-16	8-Apr-16	Thur	7:00 PM	7:59 PM	Computer Science Tutorial Room 2		
24718	COMP	1220	Computing and Society	201520	Mona	T05	Tutorial/Discussions	25	TUTOR	TUTOR	18-Jan-16	15-Apr-16	Fri	4:00 PM	4:59 PM	Computer Science Tutorial Room 1		
25640	COMP	1220	Computing and Society COMP1220 TUTORIAL	201520	Mona	T06	Tutorial/Discussions	25	TUTOR	TUTOR	18-Jan-16	14-Apr-16	Mon	6:00 PM	6:59 PM	Computer Science Tutorial Room 1		
25641	COMP	1220	Computing and Society COMP1220 TUTORIAL	201520	Mona	T07	Tutorial/Discussions	25	10008919	Ashley G. Taylor	18-Jan-16	14-Apr-16	Tues	12:00 PM	12:59 PM	Computer Science Tutorial Room 2		
25642	COMP	1220	Computing and Society COMP1220 TUTORIAL	201520	Mona	T08	Tutorial/Discussions	25	10008919	Ashley G. Taylor	18-Jan-16	14-Apr-16	Tues	1:00 PM	1:59 PM	Computer Science Tutorial Room 2		
25643	COMP	1220	Computing and Society COMP1220 TUTORIAL	201520	Mona	T09	Tutorial/Discussions	25	TUTOR	TUTOR	18-Jan-16	14-Apr-16	Mon	7:00 PM	7:59 PM	Computer Science Tutorial Room 1		
25644	COMP	1220	Computing and Society COMP1220 TUTORIAL	201520	Mona	T10	Tutorial/Discussions	25	TUTOR	TUTOR	18-Jan-16	14-Apr-16	Wed	3:00 PM	3:59 PM	Computer Science Tutorial Room 2		AMEND
