CRN	SUBJ_CODE	CRSE_NUMB	COURSE_SECTION_TITLE	SEM_OFFERED	CAMPUS	SECTION	SCHED_TYPE	QUOTA	STAFF_ID	INSTRUCTOR	START_DATE	END_DATE	DAY	START_TIME	END_TIME	ROOM_DESC	Primary Instructor/First Examiner	Update Status (OK, Amend, Remove, Add)	
25680	COMP	2211	Analysis of Algorithms	201420	Mona	T01	Tutorial/Discussions	25	TUTOR	TUTOR	19-Jan-15	17-Apr-15	Tues	10:00 AM	10:59 AM	Computer Science Tutorial Room 2		AMEND	
25681	COMP	2211	Analysis of Algorithms	201420	Mona	T02	Tutorial/Discussions	25	10019382	Paul A. Gaynor	19-Jan-15	17-Apr-15	Thur	12:00 PM	12:59 PM	Computer Science Tutorial Room 1		AMEND	
25682	COMP	2211	Analysis of Algorithms	201420	Mona	T03	Tutorial/Discussions	25	TUTOR	TUTOR	19-Jan-15	17-Apr-15	Wed	5:00 PM	5:59 PM	Computer Science Tutorial Room 1		OK	
25683	COMP	2211	Analysis of Algorithms	201420	Mona	T04	Tutorial/Discussions	25	TUTOR	TUTOR	19-Jan-15	17-Apr-15	Tues	5:00 PM	5:59 PM	Computer Science Tutorial Room 1		OK	
25845	COMP	2211	Analysis of Algorithms TUTORIAL COMP2211	201420	Mona	T05	Tutorial/Discussions	25	10019382	Paul A. Gaynor	19-Jan-15	17-Apr-15	Mon	2:00 PM	2:59 PM	Computer Science Tutorial Room 1		OK	
25686	COMP	2340	Computer Systems Organization LAB COMP2340	201420	Mona	B01	Lab	250	10034560	Simon Edewafe	19-Jan-15	16-Apr-15	Wed	12:00 PM	1:59 PM	PAS Computer Science Lab 2		AMEND	
25836	COMP	2340	Computer Systems Organization	201420	Mona	B02	Lab	250	TUTOR	Tba 2 Computing	19-Jan-15	17-Apr-15	Fri	12:00 PM	1:59 PM	Computer Lab Lab 1		OK	
25837	COMP	2340	Computer Systems Organization	201420	Mona	M11	Lecture	150	10034560	Simon Edewafe	19-Jan-15	16-Apr-15	Tues	12:00 PM	12:59 PM	PAS: PreClinical Lecture Theatre		AMEND	
25837	COMP	2340	Computer Systems Organization	201420	Mona	M11	Lecture	150	10034560	Simon Edewafe	19-Jan-15	16-Apr-15	Thur	10:00 AM	10:59 AM	PAS: PreClinical Lecture Theatre		AMEND	
25838	COMP	2340	Computer Systems Organization TUTORIAL COMP2340	201420	Mona	T01	Tutorial/Discussions	25	TUTOR	TUTOR	19-Jan-15	16-Apr-15	Mon	10:00 AM	10:59 AM	Computer Science Tutorial Room 1		OK	
